,셰프,닉네임,식당,주소,URL,별점,리뷰 수,스타일,매장 설명,기타 정보
17,배경준,원투쓰리,본연,서울특별시 강남구 논현로 742 파티오나인 7층,https://app.catchtable.co.kr/ct/shop/bornyon?type=DINING,4.9,104,한식,"미쉐린 1,2,3스타 경력, 흑백요리사 원투쓰리 배경준 셰프의 코리안 우드파이어 레스토랑","점심 영업안함 , 저녁 13만원주차 , 가능 , 콜키지 , 가능 , 단체 , 이용가능 , 홀 , 대관 , 가능 , 전문 , 소믈리에"
18,송하슬람,반찬 셰프,마마리마켓&펍,서울특별시 성동구 연무장18길 16,https://app.catchtable.co.kr/ct/shop/vingle_restaurant-mingles?type=DINING,4.5,425,다이닝바,"스페인 미쉐린 출신 흑백요리사 반찬셰프의 반찬외식브랜드 마마리 마켓&펍.1층 <마마리 마켓> 빵이나 반찬 구입 후 2층 <마마리 펍>에서 이용 가능하며, 단품 메뉴도 준비되어 있습니다.","점심, 저녁 동일가 , 1-4만원콜키지 , 가능 , 웰컴키즈존 , 반려동물 , 동반 , 단체 , 이용가능 , 홀 , 아기의자 , 대관 , 가능"
19,황진선,황진선,진진,서울특별시 마포구 월드컵북로1길 60 1층 진진,https://app.catchtable.co.kr/ct/shop/jinjin?type=WAITING,4.4,75,중식,2017-2019 미쉐린 1스타 황진선 셰프와 왕육성 셰프의 고품격 차이니즈 레스토랑,"1인당 , 1-15만원콜키지 , 가능 , 웰컴키즈존 , 무선인터넷"
20,최현석,최현석,중앙감속기,서울특별시 성동구 성수일로6길 7-1 1층,https://app.catchtable.co.kr/ct/shop/tyioop77?type=DINING,4.4,874,퓨전음식,대한민국 대표 스타셰프 최현석 셰프와 김용성 셰프의 차이니즈 이탈리안 퓨전 레스토랑,"점심, 저녁 동일가 , 1-4만원콜키지 , 가능 , 단체 , 이용가능 , 홀 , 바 , 대관 , 가능"
21,장호준,장호준,모던오뎅 신사점,서울특별시 강남구 도산대로17길 10 1층,https://app.catchtable.co.kr/ct/shop/modern_5?type=DINING,4.4,239,일식,유명 호텔 일식당 출신 장호준 셰프의 소요리들과 매일 직접 만든 수제 오뎅을 즐길 수 있는 프리미엄 오뎅bar,"점심 영업안함 , 저녁 1-2만원바"
22,김도윤,김도윤,윤서울,서울특별시 강남구 선릉로 805 W빌딩 1층,https://app.catchtable.co.kr/ct/shop/yunseoul?type=DINING,4.7,330,한식,"미쉐린 1스타 김도윤 셰프의 윤서울은 발효, 숙성, 건조를 이용한 한식 다이닝 입니다.","점심 7.8만원 , 저녁 22만원콜키지 , 가능 , 대관 , 가능"
23,데이비드 리,고기 깡패,군몽,서울특별시 용산구 한남대로27가길 15 2층,https://app.catchtable.co.kr/ct/shop/guunmongseoul?type=DINING,4.8,457,"스테이크,립",뉴욕 미쉐린 레스토랑 출신 흑백요리사 고기깡패가 선보이는 오랜시간 뉴욕 경험을 통해 숯불로 만들어지는 서울의 사계절 이야기,"점심, 저녁 동일가 , 2-7만원콜키지 , 가능 , 대관 , 가능"
24,남정석,남정석,로컬릿,서울특별시 성동구 한림말길 33 청훈빌딩 2층,https://app.catchtable.co.kr/ct/shop/local_eat?type=DINING,4.4,215,베지테리안/비건,국내 채소요리 1인자 남정석 셰프의 지역 식재료를 이용해 건강한 먹거리를 제공하는 이탈리안 레스토랑,"점심, 저녁 동일가 , 1-3만원룸 , 주차 , 가능 , 콜키지 , 가능 , 단체 , 이용가능 , 홀"
25,여경래,여경래,홍보각,서울특별시 강남구 봉은사로 130 노보텔 앰배서더 강남 서울 LL층,https://app.catchtable.co.kr/ct/shop/hongbogak?type=DINING,4.8,319,중식,40년 경력의 중식 그랜드 마스터 여경래 셰프의 솜씨로 선보이는 보배와 같은 정통 중국 요리,"점심, 저녁 동일가 , 3-10만원룸 , 주차 , 가능 , 콜키지 , 가능 , 웰컴키즈존 , 단체 , 이용가능 , 홀 , 아기의자"
26,최현석,최현석,중앙가속기,"서울특별시 성동구 성수일로 9 지하 1층, 113~114호",https://app.catchtable.co.kr/ct/shop/centralaccelerator?type=DINING,4.7,67,한식,"대한민국 대표 스타셰프 최현석 셰프와 김선엽, 김용성 셰프가 함께 만든 요리주점","점심 영업안함 , 저녁 1-3만원콜키지 , 가능 , 단체 , 이용가능 , 대관 , 가능"
27,안유성,안유성,가매일식,광주 서구 상무대로 1104-26,https://app.catchtable.co.kr/ct/shop/gamajp?type=DINING,0.0,0,일식,회정식코스 요리로 많은 사랑을 받고 있는 일식당,"오늘 (화) , 11:30 ~ 21:30룸 , 주차 , 가능 , 단체 , 이용가능 , 홀 , 바"
28,오준탁,영탉으,남영탉,서울특별시 용산구 한강대로80길 12 1층,https://app.catchtable.co.kr/ct/shop/nychicken?type=WAITING,4.4,30,"닭,오리요리",야키토리에 특화된 레스토랑 홍콩 미쉐린 야드버드(Yardbird) 및 압구정 야키도리바 FOF 헤드셰프 출신 흑백요리사 영탉 오준탁 셰프와 요리에 열정을 가진 젊은 셰프들이 함께 일구고 있는 남영탉,"동양탉 , 24,000원콜키지 , 가능 , 단체 , 이용가능 , 무선인터넷"
29,장사천재 조사장으로 출연 조서형,장사천재 조사장으로 출연 조서형,을지로보석,서울특별시 중구 마른내로 11-10 3층(저동2가),https://app.catchtable.co.kr/ct/shop/euljiloboseog?type=DINING,4.3,24,퓨전음식,흑백요리사 장사천재 조사장의 익숙하고 편안한 맛을 추구하는 술집,"점심 영업안함 , 저녁 55,000원콜키지 , 가능 , 홀 , 대관 , 가능"
30,김병묵,야키토리왕으,야키토리묵,서울특별시 마포구 성미산로 165-1 1층,https://app.catchtable.co.kr/ct/shop/yakitorimook?type=DINING,4.6,184,야키토리,미쉐린 가이드 선정 국내 야키토리 최강자 흑백요리사 야키토리왕의 토종닭을 부위 별로 맛볼 수 있는 야키토리 전문점,"점심 영업안함 , 저녁 2.2-4.5만원자동결제 , 콜키지 , 가능 , 홀 , 바"
31,방기수,방기수,깃든,서울특별시 강북구 월계로7나길 46-5 1층,https://app.catchtable.co.kr/ct/shop/gitdeun_bang?type=DINING,4.9,20,돼지고기구이,국내 첫 미쉐린 1스타 방기수 셰프의 돼지고기구이 전문점,"점심, 저녁 동일가 , 1-2만원단체 , 이용가능 , 홀"
32,최지형,최지형,리북방,서울특별시 마포구 마포대로1길 16 A&D빌딩 2층,https://app.catchtable.co.kr/ct/shop/leebukbang?type=DINING,4.5,630,한식,"세계가 인정한 이북 요리 전문가 최지형 셰프의 미쉐린 플레이트 이북음식 다이닝,순대 맡김차림","점심 5만원- 7.8만원 , 저녁 7.8만원룸 , 주차 , 가능 , 콜키지 , 가능 , 단체 , 이용가능 , 바"
33,정지선,정지선,티엔미미 강남점,"서울특별시 서초구 사임당로 143 Cross 143 104-1, 104-2, 104-3호",https://app.catchtable.co.kr/ct/shop/tianmimi?type=WAITING,4.4,216,중식,한국 최초 여성 중식 스타 셰프 정지선 셰프의 딤섬을 기반으로 중국 현지요리를 선보이는 중식당,"1인당 , 1-5만원보보식당 , 4.5 , 중식 , • , 압구정로데오 , 계향각 , 4.8 , 중식 , • , 혜화 , 누랑즈뉘 , 4.9 , 중식 , • , 이태원 , 도림 , 더 , 칸톤 , 테이블 , 4.8 , 중식 , • , 잠실 , MOTT , 32 , SEOUL , 4.5 , 중식 , • , 반포"
34,김도윤,김도윤,면서울,서울특별시 강남구 선릉로 805 W빌딩,https://app.catchtable.co.kr/ct/shop/myeonseoul?type=DINING,4.5,115,한식,미쉐린 1스타 김도윤 셰프의 자가제면 면요리 전문점.  예약제도 없이 현장 웨이팅으로 운영됩니다.,"1인당 , 1-3만원주차 , 가능 , 발렛 , 가능 , 홀 , 대관 , 가능"
